batter,strike_factor,control_factor,composite_rank_score
Abhishek Sharma,95.10885976548047,50.0,93.51285046983196
Aniket Verma,89.86434783769782,24.466049747493734,83.75660568063999
Finn Allen,88.97268989508672,25.296751398901065,82.82181593252848
Lhuan-dre Pretorius,82.0882881626122,49.2197980691423,80.03238811440661
Vaibhav Sooryavanshi,86.20155494215999,23.34780469955374,78.90366776365364
Donovan Ferreira,79.38636134260372,55.62662126674809,78.6382136296015
Heinrich Klaasen,75.00480540631769,67.87778459716613,77.13700533247794
Nitish Rana,82.36046900554834,29.062228155635154,76.02684509637497
Sai Sudharsan,73.02334635757867,67.6222128168945,75.34166577396446
Hardik Pandya,69.64554879042794,77.47692388208287,74.86770414114089
Ishan Kishan,75.58843738297462,50.775523990001524,74.07742546133693
Shreyas Iyer,64.20064095736002,87.98216379112544,73.96098560141732
Rajat Patidar,79.22271286075272,34.06991797130583,73.9328992139792
Shubman Gill,64.56191057325208,83.82179231781659,72.59381706217998
Tom Banton,72.63559097807071,48.42580856465114,70.74348065659046
Jason Holder,72.90594556544656,44.018518717306485,69.98367878081557
Riyan Parag,64.70711671584921,72.26371542322381,69.15198285538993
Cameron Green,61.888497367266915,76.36371593330107,67.82129694266419
Shimron Hetmyer,72.34107415803466,37.09937239063855,67.71103196224423
Rohit Sharma,70.52359000760268,43.858377362179525,67.63680448310997
Suryakumar Yadav,61.488329514842626,71.1204130737596,65.94792055650738
Prabhsimran Singh,71.64221666825672,27.590211356100948,64.23701610148039
Jacob Bethell,66.96159984675927,41.00915065475693,63.47536396845612
Angkrish Raghuvanshi,55.4158076386668,78.2981874908958,62.58223185602511
Sanju Samson,58.820870868072646,67.44466541977056,62.49908630019579
Glenn Phillips,63.073155873047526,51.68419683547242,62.46567800781386
Yashasvi Jaiswal,60.81800222289162,54.30162059726672,60.99363554220714
Ruturaj Gaikwad,46.351770251775164,90.66281133524792,59.564561357137826
Rachin Ravindra,61.34437712631995,43.10118481911606,58.641536883347634
Ryan Rickelton,62.911728437070764,37.200894281593136,58.53891176029845
Nicholas Pooran,59.02328233014151,47.60374656640318,57.604825088450525
Shashank Singh,53.382017765813906,61.66131841233665,55.85146535373471
Azmatullah Omarzai,55.59263377156836,52.52850908630023,55.60878174446181
Naman Dhir,59.26558920373796,37.40403327700893,55.1069705849867
Jos Buttler,53.25288755105283,56.11252104838016,54.29739299995694
Tim Seifert,55.46825824319869,46.216185230002594,53.87249454378835
Shivam Dube,45.087022180472665,75.43668231044794,51.72602351915583
Tim David,46.95814747900143,65.02971200518657,50.555812895525435
Axar Patel,54.00686114078835,38.62530676758168,50.459863702917794
David Miller,50.0,51.42695241162542,50.0
Priyansh Arya,66.41846002468823,9.418431841910527,49.71803790894734
KL Rahul,39.520652481886124,83.54639349239567,48.95597316279514
Tristan Stubbs,39.96397832484042,81.26379785458721,48.520366244613754
Cooper Connolly,50.57861795160014,37.26544710581715,46.85179635784487
Josh Inglis,53.47782079135243,27.521646041537682,46.6199147841838
Nitish Kumar Reddy,44.80170449060129,57.298948508485104,46.4540998731154
Dewald Brevis,42.947240824007956,55.69103872654007,44.24365496260669
Sameer Rizvi,44.68922000829953,44.85594432857715,43.272336985440425
Dhruv Jurel,34.29499007055555,83.33468197702219,43.22292751288449
Tilak Varma,38.5578996242269,65.0554803366125,42.18679221051002
Ayush Badoni,40.64113140556504,52.45061576586079,41.206650587040514
Marcus Stoinis,38.66475231993617,59.036674152345434,40.81530632094252
Ashutosh Sharma,38.67687389117939,52.53756470934481,39.30150318274892
Virat Kohli,31.65409148559324,80.20575256756396,39.14048135129899
Nehal Wadhera,35.67417796515991,53.73752232150136,36.605336124985556
Pathum Nissanka,42.298766207173294,27.89730092157061,36.5282541803043
Aiden Markram,32.676867170153876,60.39249823629862,35.04798991386397
Phil Salt,32.80593794470352,53.953231148029204,33.78467445685093
Mitchell Marsh,34.93079226401331,37.10095473344166,32.18784024700076
Jitesh Sharma,42.55913921483368,11.034145517878802,30.064556955292574
Rovman Powell,27.62355075200006,58.63629568927417,29.435145194459274
Quinton de Kock,31.057550089332306,34.755187263517236,28.075936745842668
Liam Livingstone,24.995753276382278,65.26086528138765,27.927919714841575
Will Jacks,31.348400794022975,30.498925961131043,27.392039775595286
Rinku Singh,24.009446900186557,65.51812661026588,26.89598250206453
Sherfane Rutherford,29.272138820015833,29.077498591335843,25.217186155537288
Matthew Breetzke,26.405215520766344,41.62378998449367,25.06376259541923
Matthew Short,26.02642685623033,38.007221752923456,24.046498003875016
Washington Sundar,22.127478857721517,58.39471627592927,23.587231001561012
Devdutt Padikkal,29.67602841869498,15.785836321277415,22.044857437474402
Abishek Porel,29.042338177645778,16.343676270273768,21.724768718510422
Rishabh Pant,22.754238498695585,33.1297321586661,20.157113837505705
Ravindra Jadeja,18.244635650689045,47.73206192299197,17.982469479142654
Jordan Cox,16.29334609304436,59.76042078093725,17.463632225997316
Krunal Pandya,16.62406471356007,46.179708649471785,16.154710734190054
Rahul Tripathi,19.07816026491779,16.48970088482717,14.012334923356168
Ajinkya Rahane,12.830825434162906,34.57800960046651,11.253950080833226
Ayush Mhatre,13.660956085313428,14.692767280156469,9.602841734492
Venkatesh Iyer,13.676810558339833,2.902856753530512,6.5117575926443205
