batter,strike_factor,control_factor,composite_rank_score
Smriti Mandhana,75.7389199312625,86.35651117708191,84.31325323903013
Nat Sciver-Brunt,76.91539236722826,75.86257120277864,81.97811965689058
Sophie Molineux,82.5701813668497,51.20913504055909,81.26134984931996
Annerie Dercksen,84.11783137393607,40.71389584170678,80.55122254208001
Georgia Wareham,78.2801288229668,64.65853320159826,80.36407177917168
Laura Wolvaardt,71.10036374759959,76.85502067067411,77.83618645652236
Alice Capsey,69.33497716664408,79.6386440176813,77.38926791044385
Fatima Sana,82.36753149550721,31.913175782219124,76.57622738110486
Sophia Dunkley,75.304320913815,53.979201790836676,75.33371378904874
Phoebe Litchfield,72.04662273049043,63.981427547279836,75.02820632067842
Isabella Gaze,75.95490947581274,48.91310273330585,74.68585292170297
Beth Mooney,65.58079994836854,72.9353950269123,72.28653085140004
Georgia Voll,70.6627431773532,57.5380469368481,72.19836264863861
Harmanpreet Kaur,70.05391262500156,57.38691337549841,71.6374312892157
Grace Harris,68.71632689994698,60.805317463753845,71.40284756081951
Heather Knight,65.17774572915164,70.73623854035458,71.28266213368666
Annabel Sutherland,63.845562230825884,72.13564772074918,70.6327024450953
Bharti Fulmali,72.27924800805903,43.053652633610305,69.82933181691187
Chinelle Henry,71.73081526439846,40.35431666220081,68.57690458716534
Ellyse Perry,57.93808796882386,78.55765940823255,68.05882560339343
Richa Ghosh,70.80219234236915,40.48302245064308,67.76348932353224
Orla Prendergast,67.60285083819178,50.02188883910882,67.55069014821719
Shafali Verma,66.47356572055033,45.531528226613624,65.31122153023794
Ashleigh Gardner,65.81429392054352,45.82256763606716,64.81108195433329
Danni Wyatt-Hodge,62.693108847313134,55.20760948698007,64.72461225846837
Amy Jones,53.157288344912224,80.09737360899354,64.71733215310276
Jemimah Rodrigues,59.02994058137474,60.776374300196295,63.17687023263727
Suzie Bates,60.871107912562856,50.19683953680024,61.73102473464722
Maddy Green,52.90885886316451,68.84844374404877,60.4067209920431
Nicola Carey,47.22923119111764,79.2739187693709,59.24812630854751
Nadine de Klerk,56.86603970892943,45.219140374318755,56.8048376187774
Amelia Kerr,48.46519599250336,67.99724318808725,56.24469012266013
Sophie Devine,49.56294207698625,55.62374248485192,53.4590141590017
Sune Luus,42.3322836285523,71.12820325700108,51.74483843745168
Amy Hunter,53.61537488414968,30.73048227509698,49.44042075516768
Deandra Dottin,52.63546210109989,31.1154363335418,48.73490034160242
Deepti Sharma,35.53954531441366,74.10205391561617,46.302325823246434
Tahlia McGrath,41.005369394138896,52.18966547982025,44.88414110315015
Harshitha Samarawickrama,48.2107756533072,30.212678793915344,44.68031528986585
Brooke Halliday,32.753437784838205,77.24000338314603,44.64185674180806
Georgia Plimmer,41.85612231688499,40.966479859892026,42.537514507497
Hayley Matthews,36.98659346782157,49.97811116089118,40.66247540297465
Hasini Perera,33.12399130809638,54.07009268644678,38.15984478411818
Yastika Bhatia,33.19999086271867,47.84612175147428,36.6696479640841
Imesha Dulani,55.63413632382963,4.988232416438561,35.813679059846415
Sarah Bryce,33.32676837844242,33.34036676315809,33.09914469357153
Sobhana Mostary,21.80295812579934,77.67686257533815,32.783092283294856
Kathryn Bryce,25.29543398083873,56.23771946323842,31.103813296569122
Chloe Tryon,32.12829861580665,26.036934207267763,30.07764110383056
Qiana Joseph,45.699727345827405,5.674106728710101,29.7660664636521
Aliya Riaz,34.12248750429997,16.98266313828744,28.63047630727746
Muneeba Ali,30.419811289064455,25.108623190995402,28.42343407755238
Tazmin Brits,26.257267835294,35.32573175261159,27.46938652294372
Sterre Kalis,24.38208924013749,41.48768145674139,27.097991096236036
Chamari Athapaththu,28.627515097802622,24.60624926968971,26.832090563787446
Stafanie Taylor,17.567083333849453,64.9789184425417,24.685076559284987
Nilakshika Silva,21.862758888545525,20.75466376696254,20.403245919164725
Shemaine Campbelle,21.332873507861603,19.881636620176035,19.768320689143884
Gaby Lewis,13.193730392866843,24.010773224060564,13.854582613165451
Kavisha Dilhari,11.315798969716024,21.79787731614449,11.890368352103525
