batter,strike_factor,control_factor,composite_rank_score
Richa Ghosh,87.28345276629429,40.555611402092666,81.64886944222845
Heather Knight,79.71679906252622,76.99703640447929,81.28564480786606
Bharti Fulmali,85.48354922260565,32.8025032087745,77.95600814987098
Phoebe Litchfield,78.70463346710075,61.316086606397306,76.8938431685175
Fatima Sana,80.99689986829766,50.0,76.77075818746287
Nat Sciver-Brunt,76.3176924035867,62.927173123111125,75.05009987109095
Jemimah Rodrigues,72.39312028733185,75.97509241360308,74.84269838519936
Ellyse Perry,73.56522977883137,69.84699272732918,74.22876205707378
Chloe Tryon,74.33983945920535,49.807288858829686,70.25782414815055
Shafali Verma,70.09162052303536,61.06334714907889,68.99927931013212
Georgia Voll,74.74115391494456,39.04278613037957,68.06591068249178
Danni Wyatt-Hodge,71.17242070383581,48.219876230591844,66.91098505349873
Sophie Molineux,71.28370171517366,47.48487462554701,66.83735759225611
Smriti Mandhana,65.64353333802008,67.45135507720624,66.70548214741518
Amelia Kerr,62.25600686249474,76.20569556697559,66.33940142826036
Georgia Plimmer,68.47183910187937,54.85605731332397,66.03717874764875
Grace Harris,65.6677899755659,52.84589426765126,63.02042127775998
Laura Wolvaardt,58.49492560156229,73.54589645117431,62.275749616240375
Ashleigh Gardner,63.89050997333719,54.608986698459326,61.872754929224335
Harmanpreet Kaur,59.51454634603711,68.25768079394372,61.601876760597996
Sophie Devine,59.16977486331158,59.55950173269989,58.96854621125989
Yastika Bhatia,64.18319184626971,38.894485229542234,58.121489960995575
Georgia Wareham,54.93784510966355,66.91852643859798,57.240203166872824
Deepti Sharma,56.521918171859646,61.14326208372005,57.06479044685049
Annabel Sutherland,52.98683844661386,69.86361874842315,56.37574702761635
Nicola Carey,61.435782841420775,38.96608209091462,55.68281668615508
Sune Luus,58.693134662682226,47.48337315477848,55.48238728180852
Sophia Dunkley,53.49354790191374,54.13088031257884,52.62227920021264
Beth Mooney,49.005776850308465,68.36164769966196,52.441394038349046
Nadine de Klerk,54.96207921636133,39.67737089191448,50.217993616350306
Alice Capsey,50.71308000608248,54.15460563611583,50.21030699235481
Brooke Halliday,51.45454479019149,49.39028953496341,49.66692828215208
Amy Jones,48.94894270186405,57.67000856531208,49.555412348703214
Kathryn Bryce,51.22350392153371,49.672030559039165,49.537310944239096
Annerie Dercksen,49.92916254906606,30.848948937219618,43.54841665863001
Tazmin Brits,41.08457353895232,56.7897779527658,42.45375147431206
Hayley Matthews,46.44435184142204,33.6807079203732,41.44528949835271
Tahlia McGrath,42.7895200882897,35.95370048943338,39.0126202361674
Deandra Dottin,49.61941888228335,14.347262338674637,37.47876471509126
Orla Prendergast,38.47376792161111,42.28054399216285,36.90475776780535
Amy Hunter,32.15278215290153,37.659528599651026,30.6322425985167
Sterre Kalis,32.43317106070214,33.03436402830799,29.89009590968987
Maddy Green,25.7104658395915,61.61039642315036,29.501304513649746
Sarah Bryce,27.123531081285872,53.4634355559318,29.29459902879217
Kavisha Dilhari,31.945295045396644,28.02466927868033,28.39214154338606
Imesha Dulani,29.15900767535533,27.600952974694295,26.114910528674123
Chinelle Henry,25.868042911123528,36.19563058882958,25.134032232755175
Harshitha Samarawickrama,28.78342331230655,24.09970311958891,25.048207906738355
Stafanie Taylor,21.76185539418967,49.07613978901482,23.66247745852245
Qiana Joseph,30.011318637339542,6.215635737380768,19.80918720378967
Gaby Lewis,21.184814050347235,22.13019207535002,18.856011787025288
Suzie Bates,20.441894558652432,16.03018811729164,17.071199103334344
Isabella Gaze,18.701700526184577,17.092616970074207,16.039774200726026
Muneeba Ali,17.451281541676483,7.158821533824413,12.713449014031191
Hasini Perera,14.907769853383131,8.585559903459941,11.543204935454039
Nilakshika Silva,13.178309998180913,9.219400771076893,10.565992745483152
Aliya Riaz,10.563366310434896,17.738644383870213,10.02510378965933
Shemaine Campbelle,12.456864648160668,8.670926486507884,9.96800695105128
Sobhana Mostary,11.872923853194443,8.651098153757884,9.57790247124453
Chamari Athapaththu,10.691754360907753,11.55543884588708,9.292183615358695
